"id","year","month","day","hour","minute","second","lat","long","id_gps"
"65407",22,4,8,8,52,48,36.807212,-2.167026,"AV574"
"119100",22,4,8,8,58,41,36.807342,-2.16697,"AV574"
"184947",22,4,8,9,4,47,36.807308,-2.166897,"AV574"
"246073",22,4,8,9,10,48,36.807483,-2.166872,"AV574"
"304503",22,4,8,9,16,46,36.807464,-2.166864,"AV574"
"359203",22,4,8,9,22,40,36.807422,-2.166883,"AV574"
"410192",22,4,8,9,28,31,36.807483,-2.166924,"AV574"
"431538",22,4,8,9,33,52,36.807415,-2.166872,"AV574"
"478126",22,4,8,9,39,38,36.807445,-2.166756,"AV574"
"520012",22,4,8,9,45,19,36.807422,-2.166913,"AV574"
"570115",22,4,8,9,51,9,36.807346,-2.166858,"AV574"
"610567",22,4,8,9,56,49,36.807384,-2.166837,"AV574"
"648312",22,4,8,10,2,26,36.807388,-2.166874,"AV574"
"676398",22,4,8,10,7,54,36.807353,-2.166807,"AV574"
"684861",22,4,8,10,13,1,36.807369,-2.166901,"AV574"
"750408",22,4,8,10,19,7,36.807342,-2.166772,"AV574"
"816280",22,4,8,10,25,12,36.807304,-2.166772,"AV574"
"844557",22,4,8,10,30,40,36.807312,-2.166877,"AV574"
"909884",22,4,8,10,36,45,36.807338,-2.166812,"AV574"
"925733",22,4,8,10,42,0,36.807434,-2.1669,"AV574"
"935934",22,4,8,10,47,10,36.807434,-2.166843,"AV574"
"943433",22,4,8,10,52,16,36.806682,-2.167752,"AV574"
"950939",22,4,8,10,57,23,36.806156,-2.16421,"AV574"
"958441",22,4,8,11,2,30,36.806545,-2.162001,"AV574"
"965953",22,4,8,11,7,36,36.806663,-2.160838,"AV574"
"973461",22,4,8,11,12,43,36.806632,-2.160583,"AV574"
"1010604",22,4,8,11,18,20,36.806812,-2.161963,"AV574"
"1018083",22,4,8,11,23,27,36.806934,-2.160409,"AV574"
"1031890",22,4,8,11,28,40,36.806404,-2.160578,"AV574"
"1039423",22,4,8,11,33,47,36.806068,-2.161508,"AV574"
"1051823",22,4,8,11,38,59,36.806343,-2.16199,"AV574"
"1059302",22,4,8,11,44,5,36.805507,-2.161296,"AV574"
"1066822",22,4,8,11,49,12,36.804821,-2.161044,"AV574"
"1084138",22,4,8,11,54,29,36.805671,-2.160554,"AV574"
"1093666",22,4,8,11,59,37,36.806663,-2.160678,"AV574"
"1101192",22,4,8,12,4,44,36.807777,-2.16139,"AV574"
"1108739",22,4,8,12,9,51,36.807979,-2.161793,"AV574"
"1127425",22,4,8,12,15,9,36.808048,-2.16305,"AV574"
"1151416",22,4,8,12,20,32,36.808288,-2.162789,"AV574"
"1205563",22,4,8,12,26,25,36.808704,-2.163336,"AV574"
"1214104",22,4,8,12,31,33,36.807949,-2.163942,"AV574"
"1222644",22,4,8,12,36,40,36.806671,-2.164015,"AV574"
"1230203",22,4,8,12,41,47,36.806007,-2.163638,"AV574"
