year,month,day,hour,minute,second,lat,long,id_gps,date,date_time
23,2,1,11,52,1,36.7967232,-4.9973664,AV585,2023-02-01,2023-02-01T11:52:01Z
23,2,1,12,21,42,36.7961664,-4.9929752,AV585,2023-02-01,2023-02-01T12:21:42Z
23,2,1,12,51,52,36.7959808,-4.9898088,AV585,2023-02-01,2023-02-01T12:51:52Z
23,2,1,13,22,6,36.7952288,-4.9898624,AV585,2023-02-01,2023-02-01T13:22:06Z
23,2,1,13,52,18,36.7940128,-4.98811,AV585,2023-02-01,2023-02-01T13:52:18Z
23,2,1,14,22,30,36.7941312,-4.9872812,AV585,2023-02-01,2023-02-01T14:22:30Z
23,2,1,14,52,43,36.7944704,-4.9886376,AV585,2023-02-01,2023-02-01T14:52:43Z
23,2,1,15,22,58,36.7945824,-4.9889728,AV585,2023-02-01,2023-02-01T15:22:58Z
23,2,1,15,53,11,36.7947872,-4.988,AV585,2023-02-01,2023-02-01T15:53:11Z
23,2,1,16,23,25,36.793504,-4.98775,AV585,2023-02-01,2023-02-01T16:23:25Z
23,2,1,16,53,56,36.7951552,-4.9895556,AV585,2023-02-01,2023-02-01T16:53:56Z
23,2,1,17,23,51,36.7964768,-4.9939108,AV585,2023-02-01,2023-02-01T17:23:51Z
23,2,1,17,54,2,36.7967648,-4.9977208,AV585,2023-02-01,2023-02-01T17:54:02Z
23,2,1,18,24,17,36.7969024,-4.997864,AV585,2023-02-01,2023-02-01T18:24:17Z
23,2,1,18,54,29,36.796928,-4.9977852,AV585,2023-02-01,2023-02-01T18:54:29Z
23,2,1,19,24,43,36.7969344,-4.9978052,AV585,2023-02-01,2023-02-01T19:24:43Z
23,2,1,19,54,54,36.7968832,-4.9978224000000004,AV585,2023-02-01,2023-02-01T19:54:54Z
23,2,1,20,25,8,36.7968032,-4.9978412,AV585,2023-02-01,2023-02-01T20:25:08Z
23,2,1,20,55,21,36.7968576,-4.9978636,AV585,2023-02-01,2023-02-01T20:55:21Z
23,2,1,21,25,33,36.7968928,-4.9979352,AV585,2023-02-01,2023-02-01T21:25:33Z
23,2,1,21,55,45,36.7968736,-4.9978376,AV585,2023-02-01,2023-02-01T21:55:45Z
23,2,1,22,25,58,36.7969312,-4.9978264,AV585,2023-02-01,2023-02-01T22:25:58Z
