year,month,day,hour,minute,second,lat,long,id_gps,date,date_time
23,4,12,13,11,32,40.453506,-3.508537,AM717,2023-04-12,2023-04-12T13:11:32Z
23,4,12,13,26,6,40.453567,-3.508446,AM717,2023-04-12,2023-04-12T13:26:06Z
23,4,12,13,41,5,40.453563,-3.508447,AM717,2023-04-12,2023-04-12T13:41:05Z
23,4,12,13,56,6,40.453559,-3.508478,AM717,2023-04-12,2023-04-12T13:56:06Z
23,4,12,14,11,8,40.453647,-3.50844,AM717,2023-04-12,2023-04-12T14:11:08Z
23,4,12,14,26,9,40.453563,-3.508454,AM717,2023-04-12,2023-04-12T14:26:09Z
23,4,12,14,41,8,40.453483,-3.50846,AM717,2023-04-12,2023-04-12T14:41:08Z
23,4,12,14,56,9,40.453529,-3.508463,AM717,2023-04-12,2023-04-12T14:56:09Z
23,4,12,15,11,9,40.453395,-3.508102,AM717,2023-04-12,2023-04-12T15:11:09Z
23,4,12,15,26,33,40.453575,-3.508495,AM717,2023-04-12,2023-04-12T15:26:33Z
23,4,12,15,41,18,40.453544,-3.508497,AM717,2023-04-12,2023-04-12T15:41:18Z
23,4,12,15,56,25,40.453502,-3.508561,AM717,2023-04-12,2023-04-12T15:56:25Z
23,4,12,16,11,11,40.453636,-3.508697,AM717,2023-04-12,2023-04-12T16:11:11Z
23,4,12,16,26,21,40.45354,-3.508534,AM717,2023-04-12,2023-04-12T16:26:21Z
23,4,12,16,41,12,40.453544,-3.508528,AM717,2023-04-12,2023-04-12T16:41:12Z
23,4,12,16,56,12,40.453601,-3.5085,AM717,2023-04-12,2023-04-12T16:56:12Z
23,4,12,17,11,12,40.453651,-3.50842,AM717,2023-04-12,2023-04-12T17:11:12Z
23,4,12,17,26,14,40.453598,-3.508469,AM717,2023-04-12,2023-04-12T17:26:14Z
23,4,12,17,41,14,40.453529,-3.508451,AM717,2023-04-12,2023-04-12T17:41:14Z
23,4,12,17,56,18,40.453533,-3.508483,AM717,2023-04-12,2023-04-12T17:56:18Z
23,4,12,18,11,14,40.453556,-3.508497,AM717,2023-04-12,2023-04-12T18:11:14Z
23,4,12,18,26,16,40.45354,-3.508631,AM717,2023-04-12,2023-04-12T18:26:16Z
23,4,12,18,41,16,40.453639,-3.508579,AM717,2023-04-12,2023-04-12T18:41:16Z
23,4,12,18,56,17,40.453544,-3.508441,AM717,2023-04-12,2023-04-12T18:56:17Z
23,4,12,19,11,17,40.453567,-3.508455,AM717,2023-04-12,2023-04-12T19:11:17Z
23,4,12,19,26,18,40.453517,-3.508562,AM717,2023-04-12,2023-04-12T19:26:18Z
23,4,12,19,41,17,40.453666,-3.508481,AM717,2023-04-12,2023-04-12T19:41:17Z
23,4,12,19,56,18,40.453567,-3.50844,AM717,2023-04-12,2023-04-12T19:56:18Z
23,4,12,20,11,23,40.453529,-3.508638,AM717,2023-04-12,2023-04-12T20:11:23Z
23,4,12,20,26,21,40.453498,-3.508549,AM717,2023-04-12,2023-04-12T20:26:21Z
23,4,12,20,41,20,40.453498,-3.508579,AM717,2023-04-12,2023-04-12T20:41:20Z
23,4,12,20,56,22,40.45351,-3.508535,AM717,2023-04-12,2023-04-12T20:56:22Z
23,4,12,21,11,21,40.453514,-3.508584,AM717,2023-04-12,2023-04-12T21:11:21Z
23,4,12,21,26,24,40.453517,-3.50844,AM717,2023-04-12,2023-04-12T21:26:24Z
23,4,12,21,41,24,40.453517,-3.508527,AM717,2023-04-12,2023-04-12T21:41:24Z
23,4,12,21,56,23,40.453544,-3.508539,AM717,2023-04-12,2023-04-12T21:56:23Z
23,4,12,22,11,23,40.45354,-3.508584,AM717,2023-04-12,2023-04-12T22:11:23Z
23,4,12,22,26,23,40.45362,-3.508512,AM717,2023-04-12,2023-04-12T22:26:23Z
23,4,12,22,41,25,40.453563,-3.508508,AM717,2023-04-12,2023-04-12T22:41:25Z
23,4,12,22,56,25,40.453571,-3.50852,AM717,2023-04-12,2023-04-12T22:56:25Z
23,4,12,23,11,25,40.453479,-3.508498,AM717,2023-04-12,2023-04-12T23:11:25Z
23,4,12,23,26,25,40.453536,-3.508454,AM717,2023-04-12,2023-04-12T23:26:25Z
23,4,12,23,41,27,40.45354,-3.508409,AM717,2023-04-12,2023-04-12T23:41:27Z
23,4,12,23,56,26,40.453491,-3.508495,AM717,2023-04-12,2023-04-12T23:56:26Z
23,4,13,0,11,27,40.453582,-3.508484,AM717,2023-04-13,2023-04-13T00:11:27Z
23,4,13,0,26,28,40.453453,-3.508582,AM717,2023-04-13,2023-04-13T00:26:28Z
23,4,13,0,41,28,40.45351,-3.508511,AM717,2023-04-13,2023-04-13T00:41:28Z
23,4,13,0,56,29,40.453468,-3.508544,AM717,2023-04-13,2023-04-13T00:56:29Z
23,4,13,1,11,30,40.453514,-3.508517,AM717,2023-04-13,2023-04-13T01:11:30Z
23,4,13,1,26,32,40.453456,-3.508443,AM717,2023-04-13,2023-04-13T01:26:32Z
23,4,13,1,41,32,40.453571,-3.508513,AM717,2023-04-13,2023-04-13T01:41:32Z
23,4,13,1,56,32,40.453388,-3.508451,AM717,2023-04-13,2023-04-13T01:56:32Z
23,4,13,2,11,33,40.45346,-3.508436,AM717,2023-04-13,2023-04-13T02:11:33Z
23,4,13,2,26,34,40.453453,-3.508337,AM717,2023-04-13,2023-04-13T02:26:34Z
23,4,13,2,41,34,40.453449,-3.508412,AM717,2023-04-13,2023-04-13T02:41:34Z
23,4,13,2,56,33,40.45343,-3.508422,AM717,2023-04-13,2023-04-13T02:56:33Z
23,4,13,3,11,35,40.45351,-3.50845,AM717,2023-04-13,2023-04-13T03:11:35Z
23,4,13,3,26,36,40.45343,-3.508361,AM717,2023-04-13,2023-04-13T03:26:36Z
23,4,13,3,41,36,40.453529,-3.508494,AM717,2023-04-13,2023-04-13T03:41:36Z
23,4,13,3,56,38,40.45354,-3.508496,AM717,2023-04-13,2023-04-13T03:56:38Z
23,4,13,4,11,37,40.453418,-3.508266,AM717,2023-04-13,2023-04-13T04:11:37Z
23,4,13,4,26,38,40.453468,-3.508308,AM717,2023-04-13,2023-04-13T04:26:38Z
23,4,13,4,41,38,40.453453,-3.508186,AM717,2023-04-13,2023-04-13T04:41:38Z
23,4,13,4,56,41,40.453407,-3.508301,AM717,2023-04-13,2023-04-13T04:56:41Z
23,4,13,5,11,39,40.453456,-3.508331,AM717,2023-04-13,2023-04-13T05:11:39Z
23,4,13,5,26,41,40.453559,-3.508608,AM717,2023-04-13,2023-04-13T05:26:41Z
23,4,13,5,41,38,40.453514,-3.508513,AM717,2023-04-13,2023-04-13T05:41:38Z
23,4,13,5,56,41,40.453453,-3.508465,AM717,2023-04-13,2023-04-13T05:56:41Z
23,4,13,6,11,41,40.453426,-3.508637,AM717,2023-04-13,2023-04-13T06:11:41Z
23,4,13,6,26,44,40.453491,-3.508595,AM717,2023-04-13,2023-04-13T06:26:44Z
23,4,13,6,41,43,40.45343,-3.508464,AM717,2023-04-13,2023-04-13T06:41:43Z
23,4,13,6,56,43,40.45338,-3.50845,AM717,2023-04-13,2023-04-13T06:56:43Z
23,4,13,7,11,54,40.453376,-3.508409,AM717,2023-04-13,2023-04-13T07:11:54Z
23,4,13,7,26,44,40.453327,-3.508333,AM717,2023-04-13,2023-04-13T07:26:44Z
23,4,13,7,41,52,40.453346,-3.508455,AM717,2023-04-13,2023-04-13T07:41:52Z
23,4,13,7,57,1,40.453392,-3.508376,AM717,2023-04-13,2023-04-13T07:57:01Z
23,4,13,8,11,45,40.453346,-3.508357,AM717,2023-04-13,2023-04-13T08:11:45Z
23,4,13,8,26,46,40.453407,-3.508555,AM717,2023-04-13,2023-04-13T08:26:46Z
23,4,13,8,41,48,40.45343,-3.508435,AM717,2023-04-13,2023-04-13T08:41:48Z
23,4,13,8,56,48,40.453514,-3.50846,AM717,2023-04-13,2023-04-13T08:56:48Z
23,4,13,9,11,51,40.453544,-3.508507,AM717,2023-04-13,2023-04-13T09:11:51Z
23,4,13,9,26,47,40.453613,-3.50845,AM717,2023-04-13,2023-04-13T09:26:47Z
23,4,13,9,41,53,40.453514,-3.508533,AM717,2023-04-13,2023-04-13T09:41:53Z
23,4,13,9,56,57,40.453838,-3.508131,AM717,2023-04-13,2023-04-13T09:56:57Z
23,4,13,10,11,50,40.453773,-3.508152,AM717,2023-04-13,2023-04-13T10:11:50Z
23,4,13,10,26,51,40.453456,-3.508565,AM717,2023-04-13,2023-04-13T10:26:51Z
23,4,13,10,41,49,40.453292,-3.508694,AM717,2023-04-13,2023-04-13T10:41:49Z
23,4,13,10,56,52,40.453483,-3.508378,AM717,2023-04-13,2023-04-13T10:56:52Z
23,4,13,11,11,54,40.453468,-3.508436,AM717,2023-04-13,2023-04-13T11:11:54Z
23,4,13,11,26,56,40.453186,-3.508622,AM717,2023-04-13,2023-04-13T11:26:56Z
23,4,13,11,42,11,40.453472,-3.508366,AM717,2023-04-13,2023-04-13T11:42:11Z
23,4,13,11,57,9,40.453357,-3.508271,AM717,2023-04-13,2023-04-13T11:57:09Z
23,4,13,12,12,0,40.453666,-3.508568,AM717,2023-04-13,2023-04-13T12:12:00Z
23,4,13,12,27,0,40.453601,-3.508479,AM717,2023-04-13,2023-04-13T12:27:00Z
23,4,13,12,41,55,40.454032,-3.508824,AM717,2023-04-13,2023-04-13T12:41:55Z
23,4,13,12,56,56,40.45383,-3.508373,AM717,2023-04-13,2023-04-13T12:56:56Z
23,4,13,13,11,56,40.453693,-3.508382,AM717,2023-04-13,2023-04-13T13:11:56Z
23,4,13,13,26,57,40.45359,-3.508293,AM717,2023-04-13,2023-04-13T13:26:57Z
23,4,13,13,41,57,40.453804,-3.508462,AM717,2023-04-13,2023-04-13T13:41:57Z
23,4,13,13,56,58,40.453571,-3.508523,AM717,2023-04-13,2023-04-13T13:56:58Z
23,4,13,14,11,58,40.453716,-3.508353,AM717,2023-04-13,2023-04-13T14:11:58Z
23,4,13,14,26,58,40.453529,-3.508457,AM717,2023-04-13,2023-04-13T14:26:58Z
23,4,13,14,41,59,40.453483,-3.508421,AM717,2023-04-13,2023-04-13T14:41:59Z
23,4,13,14,56,59,40.453468,-3.508299,AM717,2023-04-13,2023-04-13T14:56:59Z
23,4,13,15,12,3,40.453395,-3.5082429999999998,AM717,2023-04-13,2023-04-13T15:12:03Z
