year,month,day,hour,minute,second,lat,long,id_gps,date,date_time
23,4,12,13,5,13,40.453514,-3.508533,AU746,2023-04-12,2023-04-12T13:05:13Z
23,4,12,13,19,58,40.453514,-3.50846,AU746,2023-04-12,2023-04-12T13:19:58Z
23,4,12,13,35,3,40.45359,-3.508474,AU746,2023-04-12,2023-04-12T13:35:03Z
23,4,12,13,50,7,40.453563,-3.508521,AU746,2023-04-12,2023-04-12T13:50:07Z
23,4,12,14,5,12,40.453567,-3.508431,AU746,2023-04-12,2023-04-12T14:05:12Z
23,4,12,14,20,21,40.453567,-3.50836,AU746,2023-04-12,2023-04-12T14:20:21Z
23,4,12,14,35,26,40.453472,-3.508457,AU746,2023-04-12,2023-04-12T14:35:26Z
23,4,12,14,50,29,40.453536,-3.508488,AU746,2023-04-12,2023-04-12T14:50:29Z
23,4,12,15,5,33,40.453472,-3.508453,AU746,2023-04-12,2023-04-12T15:05:33Z
23,4,12,15,20,41,40.453651,-3.508739,AU746,2023-04-12,2023-04-12T15:20:41Z
23,4,12,15,35,42,40.453521,-3.508558,AU746,2023-04-12,2023-04-12T15:35:42Z
23,4,12,15,50,52,40.453224,-3.508319,AU746,2023-04-12,2023-04-12T15:50:52Z
23,4,12,16,5,59,40.453571,-3.50852,AU746,2023-04-12,2023-04-12T16:05:59Z
23,4,12,16,21,0,40.453464,-3.508424,AU746,2023-04-12,2023-04-12T16:21:00Z
23,4,12,16,36,3,40.453559,-3.508546,AU746,2023-04-12,2023-04-12T16:36:03Z
23,4,12,16,51,8,40.45359,-3.508559,AU746,2023-04-12,2023-04-12T16:51:08Z
23,4,12,17,6,14,40.453613,-3.508603,AU746,2023-04-12,2023-04-12T17:06:14Z
23,4,12,17,21,22,40.453746,-3.508454,AU746,2023-04-12,2023-04-12T17:21:22Z
23,4,12,17,36,24,40.453502,-3.508424,AU746,2023-04-12,2023-04-12T17:36:24Z
23,4,12,17,51,28,40.453575,-3.508539,AU746,2023-04-12,2023-04-12T17:51:28Z
23,4,12,18,6,35,40.453758,-3.508491,AU746,2023-04-12,2023-04-12T18:06:35Z
23,4,12,18,21,39,40.453559,-3.508558,AU746,2023-04-12,2023-04-12T18:21:39Z
23,4,12,18,36,44,40.453742,-3.508551,AU746,2023-04-12,2023-04-12T18:36:44Z
23,4,12,18,51,49,40.453556,-3.508537,AU746,2023-04-12,2023-04-12T18:51:49Z
23,4,12,19,6,56,40.453559,-3.508485,AU746,2023-04-12,2023-04-12T19:06:56Z
23,4,12,19,21,59,40.453544,-3.508615,AU746,2023-04-12,2023-04-12T19:21:59Z
23,4,12,19,37,5,40.453655,-3.508477,AU746,2023-04-12,2023-04-12T19:37:05Z
23,4,12,19,52,11,40.453598,-3.508539,AU746,2023-04-12,2023-04-12T19:52:11Z
23,4,12,20,7,21,40.453544,-3.508593,AU746,2023-04-12,2023-04-12T20:07:21Z
23,4,12,20,22,21,40.45351,-3.508545,AU746,2023-04-12,2023-04-12T20:22:21Z
23,4,12,20,37,33,40.453495,-3.508583,AU746,2023-04-12,2023-04-12T20:37:33Z
23,4,12,20,52,32,40.453514,-3.50852,AU746,2023-04-12,2023-04-12T20:52:32Z
23,4,12,21,7,37,40.453498,-3.508562,AU746,2023-04-12,2023-04-12T21:07:37Z
23,4,12,21,22,43,40.453514,-3.50858,AU746,2023-04-12,2023-04-12T21:22:43Z
23,4,12,21,37,47,40.453533,-3.508587,AU746,2023-04-12,2023-04-12T21:37:47Z
23,4,12,21,52,52,40.453552,-3.508591,AU746,2023-04-12,2023-04-12T21:52:52Z
23,4,12,22,7,57,40.453521,-3.508647,AU746,2023-04-12,2023-04-12T22:07:57Z
23,4,12,22,23,2,40.453613,-3.50862,AU746,2023-04-12,2023-04-12T22:23:02Z
23,4,12,22,38,9,40.453826,-3.508767,AU746,2023-04-12,2023-04-12T22:38:09Z
23,4,12,22,53,11,40.453552,-3.508528,AU746,2023-04-12,2023-04-12T22:53:11Z
23,4,12,23,8,17,40.45346,-3.508483,AU746,2023-04-12,2023-04-12T23:08:17Z
23,4,12,23,23,22,40.453521,-3.508569,AU746,2023-04-12,2023-04-12T23:23:22Z
23,4,12,23,38,29,40.453529,-3.508482,AU746,2023-04-12,2023-04-12T23:38:29Z
23,4,12,23,53,33,40.453498,-3.508479,AU746,2023-04-12,2023-04-12T23:53:33Z
