Dispositivo;Latitud;Longitud;Fecha;Bateria;
GPS_14;42.7837700000;-1.6870400000;21-07-2022 10:03:12;GOOD;
GPS_14;42.7836500000;-1.6868900000;21-07-2022 10:04:39;GOOD;
GPS_14;42.7901500000;-1.6991000000;01-08-2022 18:44:26;LOW;
GPS_14;36.8821800000;-2.4185200000;02-08-2022 09:02:16;LOW;
GPS_14;36.8054700000;-2.1332100000;02-08-2022 11:55:48;LOW;
GPS_14;36.8156400000;-2.1622200000;02-08-2022 11:45:48;LOW;
GPS_14;36.8158100000;-2.2240200000;02-08-2022 11:35:48;LOW;
GPS_14;36.8419100000;-2.1605200000;19-10-2022 16:14:15;LOW;
GPS_14;36.8711500000;-2.2802100000;19-10-2022 16:24:14;LOW;
GPS_14;36.9464500000;-2.4527600000;19-10-2022 16:34:13;LOW;
GPS_14;37.1397400000;-2.7442900000;19-10-2022 16:54:10;LOW;
GPS_14;37.1059700000;-2.5278300000;19-10-2022 16:44:10;LOW;
GPS_14;37.1894500000;-2.9624900000;19-10-2022 17:04:54;LOW;
GPS_14;37.3066100000;-3.1119100000;19-10-2022 17:14:32;LOW;
GPS_14;37.2558300000;-3.4815700000;19-10-2022 17:34:07;LOW;
GPS_14;37.2363400000;-3.6457500000;19-10-2022 17:44:25;LOW;
GPS_14;37.3201500000;-3.3206300000;19-10-2022 17:24:25;LOW;
GPS_14;37.1951800000;-3.6335400000;19-10-2022 18:04:48;LOW;
GPS_14;37.1950900000;-3.6334500000;19-10-2022 17:54:48;LOW;
GPS_14;37.1424000000;-3.6076700000;25-10-2022 07:46:59;LOW;
GPS_14;37.2064900000;-3.6250300000;25-10-2022 08:00:35;LOW;
GPS_14;37.1594600000;-2.8404200000;25-10-2022 08:56:51;LOW;
GPS_14;37.3109100000;-3.1121600000;25-10-2022 08:36:51;LOW;
GPS_14;37.2041800000;-3.0350800000;25-10-2022 08:46:51;LOW;
GPS_14;37.1350800000;-2.6436200000;25-10-2022 09:06:42;LOW;
GPS_14;36.8502900000;-2.1261000000;25-10-2022 10:06:29;LOW;
GPS_14;36.8688300000;-2.2294400000;25-10-2022 09:46:29;LOW;
GPS_14;36.8426100000;-2.1574300000;25-10-2022 09:56:29;LOW;
GPS_14;36.8648600000;-2.2206700000;25-10-2022 11:22:45;LOW;
GPS_14;36.8466600000;-2.1360400000;25-10-2022 11:12:45;LOW;
GPS_14;36.8671200000;-2.2288800000;25-10-2022 11:33:59;LOW;
GPS_14;36.8676500000;-2.2286400000;25-10-2022 11:53:02;LOW;
GPS_14;37.1859300000;-2.9511700000;25-10-2022 12:55:46;LOW;
GPS_14;37.0861900000;-2.5183300000;25-10-2022 12:35:46;LOW;
GPS_14;37.1370900000;-2.7366800000;25-10-2022 12:45:46;LOW;
GPS_14;37.2445400000;-3.6438000000;25-10-2022 13:35:40;LOW;
GPS_14;37.2600800000;-3.4713700000;25-10-2022 13:25:40;LOW;
GPS_14;37.3220100000;-3.2675200000;25-10-2022 13:15:40;LOW;
