Dispositivo;Latitud;Longitud;Fecha;Bateria
GPS_6;42.7835300000;-1.6871000000;21-07-2022 10:02:34;GOOD;
GPS_6;42.7835000000;-1.6871000000;21-07-2022 10:04:18;GOOD;
GPS_6;42.7840800000;-1.6873800000;27-07-2022 06:26:15;GOOD;
GPS_6;42.7885900000;-1.6865800000;27-07-2022 16:06:39;LOW;
GPS_6;42.7813400000;-1.6875900000;27-07-2022 16:16:35;LOW;
GPS_6;42.7929300000;-1.6996800000;27-07-2022 17:16:30;LOW;
GPS_6;42.7929300000;-1.6973600000;27-07-2022 17:06:30;LOW;
GPS_6;42.7927200000;-1.6965900000;27-07-2022 16:56:30;LOW;
GPS_6;42.7938700000;-1.7016300000;27-07-2022 17:36:26;LOW;
GPS_6;42.7934400000;-1.6985400000;27-07-2022 17:26:26;LOW;
GPS_6;42.7889600000;-1.6918000000;27-07-2022 19:06:52;LOW;
GPS_6;42.7853100000;-1.6914600000;27-07-2022 18:56:52;LOW;
GPS_6;42.7911900000;-1.6980700000;27-07-2022 18:46:52;LOW;
GPS_6;42.8333400000;-1.6883200000;27-07-2022 19:46:39;LOW;
GPS_6;42.8332500000;-1.6885800000;27-07-2022 19:26:39;LOW;
GPS_6;42.8333800000;-1.6890100000;27-07-2022 19:36:39;LOW;
GPS_6;40.1202900000;-3.6552400000;28-07-2022 01:55:12;LOW;
GPS_6;38.1403000000;-3.7368500000;28-07-2022 05:05:27;LOW;
GPS_6;38.0365900000;-3.7717300000;28-07-2022 05:14:50;LOW;
GPS_6;37.7813800000;-3.7528700000;28-07-2022 05:34:51;LOW;
GPS_6;37.9096500000;-3.7854000000;28-07-2022 05:24:51;LOW;
GPS_6;37.4892800000;-3.5807200000;28-07-2022 06:05:30;LOW;
GPS_6;37.5799200000;-3.6062100000;28-07-2022 05:55:30;LOW;
GPS_6;37.7032600000;-3.6362500000;28-07-2022 05:45:30;LOW;
GPS_6;37.3808000000;-3.5880100000;28-07-2022 06:14:50;LOW;
GPS_6;37.2668400000;-3.6593600000;28-07-2022 06:24:49;LOW;
GPS_6;37.1920200000;-3.7547300000;28-07-2022 06:34:43;LOW;
GPS_6;37.1794400000;-3.9136400000;28-07-2022 06:44:50;LOW;
GPS_6;37.1806500000;-3.9452800000;28-07-2022 06:54:44;LOW;
GPS_6;37.1656800000;-4.0978400000;28-07-2022 07:05:12;LOW;
GPS_6;37.1455000000;-4.2370000000;28-07-2022 07:14:46;LOW;
GPS_6;36.9687700000;-4.4394200000;28-07-2022 07:34:44;LOW;
GPS_6;36.8540300000;-4.4849200000;28-07-2022 07:45:09;LOW;
GPS_6;37.0635800000;-4.3436400000;28-07-2022 07:25:09;LOW;
GPS_6;36.7374600000;-4.5054000000;28-07-2022 07:54:47;LOW;
GPS_6;36.8756900000;-5.0423600000;28-07-2022 11:56:02;LOW;
GPS_6;36.8639000000;-4.9923700000;31-07-2022 20:37:47;GOOD;
GPS_6;36.8638100000;-4.9924900000;31-07-2022 20:47:47;GOOD;
GPS_6;36.8937800000;-4.9982600000;31-07-2022 21:07:51;GOOD;
GPS_6;36.8920800000;-5.0218800000;31-07-2022 21:28:31;LOW;
GPS_6;36.8990300000;-4.9980200000;31-07-2022 21:18:31;LOW;
GPS_6;36.8956200000;-5.0201400000;31-07-2022 21:47:47;LOW;
GPS_6;36.8958900000;-5.0197100000;31-07-2022 21:57:47;LOW;
GPS_6;36.8975000000;-5.0196800000;31-07-2022 22:17:42;LOW;
GPS_6;36.8970300000;-5.0197700000;31-07-2022 22:07:42;LOW;
GPS_6;36.8973500000;-5.0189200000;31-07-2022 22:39:25;LOW;
GPS_6;36.8974800000;-5.0190100000;31-07-2022 22:29:25;LOW;
GPS_6;36.8976800000;-5.0189800000;31-07-2022 22:48:01;LOW;
GPS_6;36.8972500000;-5.0179400000;31-07-2022 23:01:22;LOW;
GPS_6;36.8976900000;-5.0159000000;31-07-2022 23:09:29;LOW;
GPS_6;36.8981100000;-5.0147700000;31-07-2022 23:17:50;LOW;
GPS_6;36.9016000000;-5.0069300000;01-08-2022 00:17:43;LOW;
GPS_6;36.9024200000;-5.0076200000;01-08-2022 00:07:43;LOW;
GPS_6;36.9009900000;-5.0069300000;01-08-2022 00:28:46;LOW;
GPS_6;36.9010700000;-5.0062300000;01-08-2022 00:47:31;LOW;
GPS_6;36.9009400000;-5.0064900000;01-08-2022 00:37:31;LOW;
GPS_6;36.9023400000;-5.0062900000;01-08-2022 01:07:26;LOW;
GPS_6;36.9023700000;-5.0063200000;01-08-2022 01:17:26;LOW;
GPS_6;36.9018600000;-5.0063200000;01-08-2022 00:57:26;LOW;
GPS_6;36.9023700000;-5.0061600000;01-08-2022 01:28:17;LOW;
GPS_6;36.9023100000;-5.0058300000;01-08-2022 01:37:23;LOW;
GPS_6;36.9019300000;-5.0035100000;01-08-2022 01:47:15;LOW;
GPS_6;36.9022700000;-5.0019200000;01-08-2022 01:57:15;LOW;
GPS_6;36.9016300000;-5.0022000000;01-08-2022 02:07:13;LOW;
GPS_6;36.8998300000;-5.0011600000;01-08-2022 02:37:06;LOW;
GPS_6;36.9002600000;-5.0003900000;01-08-2022 02:27:06;LOW;
GPS_6;36.9018500000;-5.0003000000;01-08-2022 02:17:06;LOW;
GPS_6;36.8997200000;-5.0012800000;01-08-2022 02:47:09;LOW;
GPS_6;36.8989100000;-5.0020400000;01-08-2022 03:17:01;LOW;
GPS_6;36.8996800000;-5.0013600000;01-08-2022 02:57:01;LOW;
GPS_6;36.8994700000;-5.0017000000;01-08-2022 03:07:01;LOW;
GPS_6;36.8983900000;-5.0019800000;01-08-2022 03:37:02;LOW;
GPS_6;36.8976100000;-5.0023500000;01-08-2022 03:47:05;LOW;
GPS_6;36.8975700000;-5.0020100000;01-08-2022 04:07:06;LOW;
GPS_6;36.8977800000;-5.0019200000;01-08-2022 03:57:06;LOW;
GPS_6;36.8975700000;-5.0020800000;01-08-2022 04:17:07;LOW;
GPS_6;36.8981900000;-5.0019200000;01-08-2022 04:27:29;LOW;
GPS_6;36.8981900000;-5.0019800000;01-08-2022 04:36:48;LOW;
GPS_6;36.9003900000;-5.0064400000;01-08-2022 06:47:28;LOW;
GPS_6;36.8997500000;-5.0056700000;01-08-2022 06:37:28;LOW;
GPS_6;36.8984600000;-5.0043800000;01-08-2022 06:27:28;LOW;
GPS_6;36.9002500000;-5.0064700000;01-08-2022 06:57:24;LOW;
GPS_6;36.9003400000;-5.0068400000;01-08-2022 07:17:18;LOW;
GPS_6;36.9000400000;-5.0067500000;01-08-2022 07:07:18;LOW;
GPS_6;36.9005400000;-5.0068100000;01-08-2022 07:27:12;LOW;
GPS_6;36.9010000000;-5.0077800000;01-08-2022 07:47:12;LOW;
GPS_6;36.9009600000;-5.0074400000;01-08-2022 07:37:12;LOW;
GPS_6;36.9010300000;-5.0084200000;01-08-2022 07:57:12;LOW;
GPS_6;36.8997400000;-5.0107400000;01-08-2022 08:17:08;LOW;
GPS_6;36.9000000000;-5.0098800000;01-08-2022 08:07:08;LOW;
GPS_6;36.8992500000;-5.0126000000;01-08-2022 08:27:09;LOW;
GPS_6;36.8964900000;-5.0148000000;01-08-2022 08:57:01;LOW;
GPS_6;36.8965200000;-5.0152300000;01-08-2022 09:27:09;LOW;
GPS_6;36.8964600000;-5.0160500000;01-08-2022 09:38:15;LOW;
GPS_6;36.8962900000;-5.0151100000;01-08-2022 09:18:15;LOW;
GPS_6;36.8932600000;-5.0207200000;01-08-2022 09:56:56;LOW;
GPS_6;36.8969500000;-5.0164300000;01-08-2022 09:46:56;LOW;
GPS_6;36.8918600000;-5.0213600000;01-08-2022 10:27:02;LOW;
GPS_6;36.8919000000;-5.0213600000;01-08-2022 10:07:02;LOW;
GPS_6;36.8918600000;-5.0213600000;01-08-2022 10:17:02;LOW;
GPS_6;36.8917200000;-5.0215800000;01-08-2022 13:21:51;LOW;
GPS_6;36.8918900000;-5.0214100000;01-08-2022 13:11:51;LOW;
GPS_6;36.8919500000;-5.0215100000;01-08-2022 13:41:43;LOW;
GPS_6;36.8918600000;-5.0215100000;01-08-2022 13:31:43;LOW;
GPS_6;36.8919200000;-5.0214500000;01-08-2022 14:38:21;LOW;
GPS_6;36.8922800000;-5.0215800000;01-08-2022 15:51:58;LOW;
GPS_6;36.8918100000;-5.0216700000;01-08-2022 15:41:58;LOW;
GPS_6;36.8925000000;-5.0200200000;01-08-2022 19:02:11;LOW;
GPS_6;36.8917700000;-5.0214800000;01-08-2022 18:42:11;LOW;
GPS_6;36.8921100000;-5.0204500000;01-08-2022 18:52:11;LOW;
GPS_6;36.8917500000;-5.0210900000;01-08-2022 19:22:24;LOW;
GPS_6;36.8923500000;-5.0204900000;01-08-2022 19:12:24;LOW;
GPS_6;36.8919800000;-5.0217900000;01-08-2022 20:31:37;LOW;
GPS_6;36.8919800000;-5.0217900000;01-08-2022 20:21:37;LOW;
GPS_6;36.8919800000;-5.0217900000;01-08-2022 20:11:37;LOW;
GPS_6;36.8919400000;-5.0216400000;01-08-2022 20:51:29;LOW;
GPS_6;36.8917000000;-5.0216700000;01-08-2022 21:01:27;LOW;
GPS_6;36.8916900000;-5.0217900000;01-08-2022 21:11:21;LOW;
GPS_6;36.8916300000;-5.0218800000;01-08-2022 21:31:24;LOW;
GPS_6;36.8915900000;-5.0218800000;01-08-2022 21:21:24;LOW;
GPS_6;36.8942500000;-5.0206900000;01-08-2022 21:41:42;LOW;
GPS_6;36.8959700000;-5.0196200000;01-08-2022 22:01:15;LOW;
GPS_6;36.8955400000;-5.0195300000;01-08-2022 21:51:15;LOW;
GPS_6;36.8971200000;-5.0197100000;01-08-2022 22:11:12;LOW;
GPS_6;36.8974200000;-5.0186200000;01-08-2022 22:31:11;LOW;
GPS_6;36.8974600000;-5.0188800000;01-08-2022 22:21:11;LOW;
GPS_6;36.8974100000;-5.0178800000;01-08-2022 22:41:36;LOW;
GPS_6;36.8978100000;-5.0147700000;01-08-2022 23:01:09;LOW;
GPS_6;36.8974700000;-5.0164000000;01-08-2022 22:51:09;LOW;
GPS_6;36.8965600000;-5.0135500000;01-08-2022 23:11:17;LOW;
GPS_6;36.8958500000;-5.0140700000;01-08-2022 23:41:32;LOW;
GPS_6;36.8962800000;-5.0140700000;01-08-2022 23:31:32;LOW;
GPS_6;36.8962800000;-5.0137300000;01-08-2022 23:21:32;LOW;
GPS_6;36.8951800000;-5.0155300000;02-08-2022 00:21:13;LOW;
GPS_6;36.8954800000;-5.0149300000;02-08-2022 00:11:13;LOW;
GPS_6;36.8955700000;-5.0146700000;02-08-2022 00:01:13;LOW;
GPS_6;36.8947100000;-5.0154700000;02-08-2022 00:31:01;LOW;
GPS_6;36.8931300000;-5.0166000000;02-08-2022 00:42:16;LOW;
GPS_6;36.8924100000;-5.0175500000;02-08-2022 00:51:02;LOW;
GPS_6;36.8907800000;-5.0193800000;02-08-2022 01:10:55;LOW;
GPS_6;36.8914200000;-5.0191200000;02-08-2022 01:00:55;LOW;
GPS_6;36.8902500000;-5.0195600000;02-08-2022 01:30:52;LOW;
GPS_6;36.8904200000;-5.0195600000;02-08-2022 01:20:52;LOW;
GPS_6;36.8904600000;-5.0195600000;02-08-2022 01:41:11;LOW;
GPS_6;36.8905900000;-5.0215100000;02-08-2022 02:00:48;LOW;
GPS_6;36.8907200000;-5.0213400000;02-08-2022 01:50:48;LOW;
GPS_6;36.8905400000;-5.0216100000;02-08-2022 02:10:47;LOW;
GPS_6;36.8905600000;-5.0216700000;02-08-2022 02:20:44;LOW;
GPS_6;36.8904400000;-5.0216100000;02-08-2022 02:30:43;LOW;
GPS_6;36.8904000000;-5.0217300000;02-08-2022 02:41:05;LOW;
GPS_6;36.8904000000;-5.0219100000;02-08-2022 02:50:37;LOW;
GPS_6;36.8900800000;-5.0213000000;02-08-2022 03:50:33;LOW;
GPS_6;36.8900300000;-5.0213000000;02-08-2022 04:00:28;LOW;
GPS_6;36.8901100000;-5.0213000000;02-08-2022 03:40:28;LOW;
GPS_6;36.8900100000;-5.0213900000;02-08-2022 04:10:27;LOW;
GPS_6;36.8900000000;-5.0213600000;02-08-2022 04:20:22;LOW;
GPS_6;36.8891200000;-5.0214500000;02-08-2022 05:48:43;LOW;
GPS_6;36.8889800000;-5.0215800000;02-08-2022 05:58:19;LOW;
GPS_6;36.8899300000;-5.0214000000;02-08-2022 05:38:19;LOW;
GPS_6;36.8889400000;-5.0215800000;02-08-2022 06:08:18;LOW;
GPS_6;36.8889500000;-5.0213000000;02-08-2022 06:18:15;LOW;
GPS_6;36.8890500000;-5.0212700000;02-08-2022 06:28:12;LOW;
GPS_6;36.8895600000;-5.0229500000;02-08-2022 06:48:56;LOW;
