id_collar,lat,lng,time_stamp
AV340,36.642175937,-5.072724498,2022-11-30T23:26:01Z
AV340,36.641870756,-5.073075456,2022-11-30T23:56:35Z
AV339,36.647226673,-5.074967575,2022-12-01T00:19:11Z
AV340,36.64180972,-5.0723888,2022-12-01T00:26:42Z
AV339,36.647302968,-5.075135424,2022-12-01T00:49:16Z
AV340,36.641916533,-5.0723888,2022-12-01T00:56:18Z
AV339,36.647257191,-5.075181201,2022-12-01T01:19:18Z
AV340,36.641947051,-5.072297246,2022-12-01T01:26:29Z
AV339,36.647211414,-5.075410086,2022-12-01T01:49:25Z
AV340,36.641489281,-5.073853666,2022-12-01T01:56:24Z
AV340,36.641550317,-5.072800793,2022-12-01T02:26:29Z
AV339,36.647348745,-5.075074388,2022-12-01T02:49:44Z
AV340,36.641916533,-5.072648203,2022-12-01T02:56:41Z
AV339,36.646509499,-5.074952316,2022-12-01T03:19:52Z
AV340,36.641245136,-5.072526131,2022-12-01T03:26:38Z
AV339,36.646204318,-5.07472343,2022-12-01T03:50:06Z
AV340,36.641718166,-5.071824216,2022-12-01T03:56:43Z
AV339,36.647348745,-5.073731594,2022-12-01T04:20:01Z
AV340,36.641779202,-5.072037842,2022-12-01T04:26:48Z
AV340,36.641931792,-5.072358282,2022-12-01T04:56:51Z
AV339,36.646814679,-5.07457084,2022-12-01T05:20:38Z
AV340,36.642038605,-5.072571908,2022-12-01T05:26:58Z
AV339,36.647165637,-5.074891279,2022-12-01T05:50:30Z
AV340,36.641489281,-5.0723888,2022-12-01T05:57:10Z
AV339,36.653421836,-5.076935988,2022-12-01T06:20:31Z
AV340,36.654505226,-5.075654231,2022-12-01T09:58:03Z
AV340,36.650919356,-5.073914702,2022-12-01T10:27:44Z
AV339,36.655130846,-5.076707103,2022-12-01T10:51:30Z
AV339,36.6511635,-5.076371405,2022-12-01T11:21:38Z
AV340,36.644281682,-5.070435645,2022-12-01T11:57:55Z
AV339,36.644113832,-5.070801862,2022-12-01T12:21:58Z
AV340,36.644220645,-5.070496681,2022-12-01T12:28:13Z
AV339,36.644220645,-5.070542458,2022-12-01T12:52:01Z
AV340,36.644052796,-5.070420386,2022-12-01T12:58:07Z
AV340,36.64571603,-5.070008392,2022-12-01T13:58:09Z
AV339,36.646509499,-5.068665599,2022-12-01T14:22:17Z
AV340,36.646372168,-5.070756085,2022-12-01T14:28:29Z
