codigo_gps,lat,lng,time_stamp,id_ganadero,animal,type
AV597,37.143325,-3.591675,2022-01-13T11:19:09Z,SNE-1,oveja,medición continua
AV597,37.14339,-3.591747,2022-01-13T11:25:01Z,SNE-1,oveja,medición continua
AV597,37.143192,-3.591526,2022-01-13T11:30:44Z,SNE-1,oveja,medición continua
AV597,37.145252,-3.591166,2022-01-13T11:36:55Z,SNE-1,oveja,medición continua
AV597,37.164318,-3.57617,2022-01-13T11:43:06Z,SNE-1,oveja,medición continua
AV597,37.166275,-3.584368,2022-01-13T11:49:17Z,SNE-1,oveja,medición continua
AV597,37.165817,-3.584178,2022-01-13T11:55:28Z,SNE-1,oveja,medición continua
AV597,37.163909,-3.577616,2022-01-13T12:00:55Z,SNE-1,oveja,medición continua
AV597,37.163169,-3.572851,2022-01-13T12:06:11Z,SNE-1,oveja,medición continua
AV597,37.163204,-3.572924,2022-01-13T12:11:29Z,SNE-1,oveja,medición continua
AV597,37.163475,-3.572845,2022-01-13T12:17:01Z,SNE-1,oveja,medición continua
AV597,37.163414,-3.573418,2022-01-13T12:22:21Z,SNE-1,oveja,medición continua
AV597,37.163341,-3.572982,2022-01-13T12:27:49Z,SNE-1,oveja,medición continua
AV597,37.163566,-3.573934,2022-01-13T12:33:10Z,SNE-1,oveja,medición continua
AV597,37.163543,-3.572972,2022-01-13T12:38:28Z,SNE-1,oveja,medición continua
AV597,37.163276,-3.573139,2022-01-13T12:43:47Z,SNE-1,oveja,medición continua
AV597,37.163196,-3.573163,2022-01-13T12:49:04Z,SNE-1,oveja,medición continua
AV597,37.163349,-3.573123,2022-01-13T12:54:43Z,SNE-1,oveja,medición continua
AV597,37.163513,-3.572862,2022-01-13T13:00:09Z,SNE-1,oveja,medición continua
AV597,37.163352,-3.572641,2022-01-13T13:05:26Z,SNE-1,oveja,medición continua
AV597,37.163475,-3.573311,2022-01-13T13:10:45Z,SNE-1,oveja,medición continua
AV597,37.162879,-3.570681,2022-01-13T13:16:01Z,SNE-1,oveja,medición continua
AV597,37.162971,-3.570655,2022-01-13T13:21:21Z,SNE-1,oveja,medición continua
AV597,37.163887,-3.576838,2022-01-13T13:26:40Z,SNE-1,oveja,medición continua
AV597,37.166152,-3.584038,2022-01-13T13:32:51Z,SNE-1,oveja,medición continua
AV597,37.166046,-3.590126,2022-01-13T13:38:14Z,SNE-1,oveja,medición continua
AV597,37.165859,-3.590411,2022-01-13T13:43:43Z,SNE-1,oveja,medición continua
AV597,37.165508,-3.590776,2022-01-13T13:48:56Z,SNE-1,oveja,medición continua
AV597,37.166271,-3.590504,2022-01-26T06:23:01Z,SNE-1,oveja,medición continua
AV597,37.145759,-3.601098,2022-01-26T06:28:13Z,SNE-1,oveja,medición continua
AV597,37.186416,-3.631719,2022-01-26T06:33:35Z,SNE-1,oveja,medición continua
AV597,37.201118,-3.049615,2022-01-26T07:21:25Z,SNE-1,oveja,medición continua
AV597,37.170883,-3.052069,2022-01-26T07:26:40Z,SNE-1,oveja,medición continua
AV597,37.159221,-3.055209,2022-01-26T07:32:03Z,SNE-1,oveja,medición continua
AV597,37.134723,-3.042397,2022-01-26T07:38:14Z,SNE-1,oveja,medición continua
AV597,37.119602,-3.032881,2022-01-26T07:44:14Z,SNE-1,oveja,medición continua
AV597,37.105419,-3.025991,2022-01-26T07:49:41Z,SNE-1,oveja,medición continua
AV597,37.087162,-3.024768,2022-01-26T07:55:52Z,SNE-1,oveja,medición continua
AV597,37.06715,-3.017058,2022-01-26T08:01:25Z,SNE-1,oveja,medición continua
